mark,year,mileage,fuel,price
0,2017,101800,3,44990
0,2016,124000,2,40900
0,2018,135403,3,62000
0,2015,180000,3,32900
0,2018,107515,3,62000
0,2018,91000,3,53600
0,2015,125327,3,39900
0,2018,117320,3,53874
0,1998,401315,0,2000
0,2000,241252,2,5499
0,2000,260000,0,3000
0,1998,200000,0,2999
0,1997,113000,2,12900
0,1999,304000,0,5900
0,1999,290000,3,3300
0,1998,152000,2,3500
0,2008,230000,3,19500
0,2006,240000,3,8900
0,2005,260918,3,11000
0,2002,271000,0,7900
0,2004,122000,2,9900
0,2007,253000,3,7500
0,2005,260918,3,11000
0,2007,315142,3,13900
0,2008,187000,2,12900
0,2008,310000,3,8900
0,2004,122000,2,9900
0,2007,253000,3,7500
0,2008,276795,3,9000
0,2004,169117,2,8500
0,2008,206570,2,18900
0,2007,132000,2,13900
0,2006,160000,2,15200
0,2008,238000,3,11000
0,2007,199000,2,19999
0,2002,173000,2,6900
0,2002,109900,2,8999
0,2002,152700,2,7999
0,2008,283340,3,10500
0,2013,141399,2,31300
0,2014,109330,2,32500
0,2014,121311,2,33500
0,2013,91512,2,32900
0,2018,8049,2,46600
0,2014,81932,2,27900
0,2015,39007,2,38900
0,2015,106000,2,38000
0,2013,50000,2,22900
0,2019,27900,2,49000
0,2017,96511,2,48900
0,2014,100053,2,31500
0,2014,121311,2,33500
0,2018,8049,2,46600
0,2019,21000,2,47800
0,2014,36434,2,31999
0,2019,27900,2,49000
0,2015,67661,2,39900
0,2015,55000,2,32900
0,2014,120000,0,25900
0,2016,27053,2,32900
0,2016,78000,2,35900
0,2016,67000,2,35900
0,2013,98793,2,26999
0,2018,27016,2,39900
0,2019,14961,2,55000
0,2018,6100,2,44280
0,2014,48000,2,36999
0,2009,149000,2,11500
0,2011,100942,2,16300
0,2010,155324,2,21500
0,2008,125000,2,11900
0,2008,142353,3,12900
0,2010,111000,2,16700
0,2010,160000,2,14900
0,2008,78000,2,12900
0,2008,93000,2,12800
0,2010,155324,2,21500
0,2008,180000,2,10500
0,2012,79717,2,18700
0,2009,53000,2,26999
0,2010,109079,2,17900
0,2008,156000,2,9300
0,2000,224600,2,4900
0,2004,188000,2,4900
0,2000,209221,2,4300
0,2001,202781,2,5000
0,2004,226041,0,3950
0,2000,175423,2,3999
0,2013,148754,4,48800
0,2013,207856,4,54900
0,2015,222220,4,76700
0,2007,227854,3,22900
0,2009,165256,3,29900
0,2015,81482,3,51000
0,2009,282000,3,19999
0,2013,181100,3,37900
0,2014,97000,3,46000
0,2011,151000,3,32500
0,2008,227000,3,23500
0,2007,220630,2,24900
0,2007,168000,3,27900
0,2008,236000,3,22900
0,2007,182000,2,30900
0,2008,147900,3,25900
0,2014,141923,3,53900
0,2009,189150,3,30500
0,2008,203226,3,22500
0,2008,254849,3,25999
0,2009,147000,3,29900
0,2007,179000,2,23700
0,2010,169000,3,30400
0,2011,245000,3,30900
0,2007,158513,3,16300
0,2008,224119,3,27900
0,2008,172000,2,29900
0,2011,226200,3,26900
0,2010,161500,3,35900
0,2009,250000,3,26500
0,2009,220000,2,24900
0,2007,154743,3,23900
0,2003,135000,2,8700
0,2008,147000,2,9900
0,2005,235524,2,13999
0,2000,208000,2,6900
0,1998,198469,2,2200
0,2005,147000,2,12900
0,1999,265000,2,2450
0,2003,284208,3,6900
0,2000,243540,3,3500
0,2002,172000,2,6450
0,2004,96044,2,13500
0,2003,96438,2,8300
0,2003,256389,2,2999
0,1998,275000,2,4900
0,2006,222000,3,8500
0,2001,137000,2,4900
0,2006,177400,0,8900
0,2000,205243,2,4200
0,2008,80784,2,13500
0,2007,153000,2,9500
0,2004,240000,3,4900
0,2000,272920,3,2490
0,2001,303000,2,6700
0,2000,184369,2,6900
0,2003,166500,2,5900
0,2002,227000,2,4300
0,2003,189000,2,6400
0,2000,246500,2,3300
0,2002,281000,2,2490
0,2007,127496,2,16900
0,2007,149000,3,13500
0,2004,180000,2,10900
0,2008,175000,2,16400
0,2005,201705,3,10500
0,2005,320360,3,7800
0,2005,258952,3,12900
0,2010,178701,2,21900
0,2004,170000,2,11500
0,2007,288000,3,14000
0,2011,211000,3,14700
0,2009,164000,2,19800
0,2005,196000,2,12500
0,2007,208000,3,17000
0,2008,139420,2,16900
0,2009,185009,2,14900
0,2005,198568,2,10900
0,2007,285000,3,9800
0,2009,190000,2,13900
0,2005,195000,2,6700
0,2005,199000,2,13900
0,2005,229000,2,13900
0,2006,152000,3,14900
0,2004,201000,0,11500
0,2005,180000,3,5300
0,2006,168321,2,13900
0,2007,171000,2,14900
0,2005,250000,3,5800
0,2005,250000,3,5800
0,2006,222504,3,12000
0,2005,235400,2,12700
0,2006,434400,3,10900
0,2009,89420,2,19900
0,2008,118148,2,16900
0,2009,125500,2,12900
0,2007,190000,2,14500
0,2008,240000,2,13500
0,2006,160617,2,14900
0,2007,88000,2,15999
0,2007,160000,2,9999
0,2007,215000,0,13500
0,2005,287600,3,15000
0,2005,202000,2,9900
0,2004,260000,3,8900
0,2009,202039,3,15900
0,2008,146851,2,13800
0,2005,213000,2,10900
0,2008,151654,2,14500
0,2005,178321,2,13900
0,2008,188160,0,14500
0,2006,180000,3,8900
0,2007,199200,2,14999
0,2009,153000,2,15900
0,2004,250000,2,9900
0,2010,323000,2,9999
0,2007,237000,3,12900
0,2011,134550,2,19750
0,2009,217500,2,13900
0,2004,270000,3,13900
0,2009,209000,3,14700
0,2004,191000,2,8900
0,2004,180000,2,10950
0,2009,217648,3,13600
0,2006,187300,2,13900
0,2004,260000,0,9900
0,2009,71000,2,19900
0,2005,221201,2,10500
0,2009,171000,2,15500
0,2007,128301,2,21890
0,2006,222200,2,12900
0,2010,127907,2,24500
0,2007,181687,2,13299
0,2006,108200,2,14800
0,2009,189000,0,14000
0,2006,178529,2,12900
0,2006,191000,3,13500
0,2007,182312,2,16900
0,2006,86000,2,12888
